Screen ID,Destinations,Destination Count
MUL-140,"Arlington Center, Clarendon Hill, Sullivan, Davis, Assembly, Medford Square, Harvard",7
TPS-128,"Walpole Center via Washington St, Forest Hills, South Station, Forge Park/495, Foxboro",5
TPS-107,"Davis, Arlington Center, West Medford, Medford Square, Sullivan, Wellington",6
PRE-163,"Government Center, Union Square, Boston College, Cleveland Circle, Riverside, Harvard, Nubian",7
Audio-ForestHillsBus,"Forest Hills via South Bay Center, Andrew via South Bay Center, Ashmont, Forest Hills, Mattapan, Wolcott Square, Nubian",7
MUL-117,"Ashmont, Fields Corner, Mattapan, Andrew (Limited Stops), Harbor Point via South Bay Center, Broadway",6
TPS-118,"Alewife via Arlington Center, Harvard, Turkey Hill via Arlington Center, Arlington Heights",4
PRE-116,"Oak Grove, South Station, Andrew (Limited Stops), Kenmore via South Bay Center, Ruggles, Kenmore, Park St & Tremont St, Broadway, Forest Hills, Forge Park/495, Needham Heights, Wickford Junction, Stoughton, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Harbor Point via South Bay Center, Fields Corner, Ashmont, Mattapan, Jackson Square, Franklin Park, Central Square, Assembly",23
MUL-135,"Quincy Center via North Quincy, Weymouth Landing via Quincy Ave, Weymouth Landing via Southern Artery, Quincy Center via Southern Artery, Quincy Center via Quincy Ave, South Shore Plaza, Quincy Center, Mattapan, Houghs Neck via Germantown, Ashmont, Montello, Holbrook/Randolph, Hingham Depot via Shipyard, Quincy Center via Shipyard, Washington St & Pleasant St Weymouth, East Weymouth, Fields Corner, Squantum, Ashmont via North Quincy",19
TEST-Salem,"North Station, Neptune Towers, Haymarket, Salem Depot via Cabot St, Salem Depot via Tozer Rd & Cummings, Wonderland via Central Square, Central Square",7
PRE-181,"Alewife, South Station, Braintree, Ashmont, Logan Airport, Design Center, Chelsea, Silver Line Way, Readville, Fall River, New Bedford, Worcester, Forge Park/495, Foxboro, Greenbush, Kingston, Needham Heights, Wickford Junction, Stoughton, Hyannis",20
