Screen ID,Name,Destination Count,Destinations
MUL-119,MUL-119 Andrew Busway Left,13,"Braintree, Ashmont, Alewife, Avenue Louis Pasteur (Limited Stops), Beth Israel (Limited Stops), Andrew (Limited Stops), City Point via South Bay Center, Arlington via South Bay Center, Forest Hills via South Bay Center, Andrew via South Bay Center, Fields Corner, Andrew, Logan Airport via Andrew"
MUL-116,MUL-116 Malden East Busway,13,"Malden, Airport, Sullivan, Lebanon Loop, Wellington, Linden Square, Kennedy Dr, Jack Satter House, Saugus Center via Square One Mall, Malden via Square One Mall, Melrose Highlands via Oak Grove, Malden via Oak Grove, Reading Depot"
MUL-129,MUL-129 Forest Hills Upper Busway Right,4,"Dedham Mall, Walpole Center via Washington St, Georgetowne, Cleary Square"
PRE-110,PRE-110 Forest Hills - Main Headhouse Lobby - South,19,"Oak Grove, South Station, Andrew via South Bay Center, Forest Hills, Back Bay, Nubian, Needham Heights, Forest Hills via South Bay Center, Ashmont, Mattapan, Wolcott Square, Dedham Mall, Walpole Center via Washington St, VA Hospital, Baker & Vermont St, Wren St, Georgetowne, Cleary Square, Reservoir"
bpl-roxbury-V2,BPL Roxbury,10,"Nubian, South Station, Downtown, Harvard, Harbor Point via South Bay Center, Kenmore via South Bay Center, Kenmore, Central Square, Broadway, Logan Airport via Andrew"
PRE-176,PRE-176 Kenmore Lobby,12,"Boston College, Cleveland Circle, Riverside, Harbor Point via South Bay Center, Fields Corner, Watertown Yard, Chestnut Hill Mall, Brighton Center, Government Center, Union Square, Kenmore via South Bay Center, Kenmore"
MUL-108-V2,MUL-108 Haymarket,9,"North Station, Sullivan, Sullivan via Navy Yard, Central Square via Cliftondale, Haymarket via Cliftondale, Oaklandvale via Cliftondale (Express), Haymarket via Cliftondale (Express), Salem Depot, Haymarket"
MUL-144,MUL-144 Broadway Busway,5,"City Point, Copley, Chauncy & Summer, Central Square, Broadway"
TPS-120,,2,"South Station, Worcester"
PRE-193,PRE-193 State - Exchange Place,4,"Wonderland, Bowdoin, Oak Grove, Forest Hills"
TPS-110,,2,"Market Place Dr, University Park"
MUL-149,MUL-149 Park Street GL Westbound Platform,10,"Alewife, Government Center, Union Square, Medford/Tufts, Braintree, Ashmont, Boston College, Cleveland Circle, Riverside, Heath Street"
MUL-115,MUL-115 Malden West Busway,19,"Woodland Rd, Malden, Sullivan, Wellington, Redstone, Forest Hills, Oak Grove, Haverhill, North Station, Airport, Lebanon Loop, Linden Square, Melrose Highlands via Oak Grove, Malden via Oak Grove, Reading Depot, Kennedy Dr, Jack Satter House, Saugus Center via Square One Mall, Malden via Square One Mall"
MUL-139,MUL-139 Braintree Busway,5,"Columbian Square, Montello, South Shore Plaza, Braintree, Quincy Center"
TPS-112,,5,"Riverside, Union Square, Brighton Center, Kenmore, Nubian via Allston"
TPS-127,,3,"Sullivan via Navy Yard, Haymarket via Sullivan, Downtown"
